	ID	ProductSeries	ModelName	CPU	Chipset	CPUType	CoreNumber	CPUManufacture
1	61	null	P4MA Pro	N/A	Micro-ATX	X86	0	N/A
2	181	EPIA Mini-ITX Series	EPIA CL-Series Mini-ITX Board (EOL)	N/A	CLE266	X86	0	N/A
3	141	EPIA Mini-ITX Series	EPIA V-Series Mini-ITX Board (EOL)	N/A	N/A	X86	0	N/A
4	24	null	P4PB Pro	N/A	P4X333	X86	0	N/A
5	121	null	P4UB 400	N/A	Micro-ATX	X86	0	N/A
6	23	null	P4PB400	N/A	P4X333	X86	0	N/A
7	5	null	P4X266 VL33-S	N/A	P4X266	X86	0	N/A
8	7	null	P4XB-SA	N/A	P4X266A	X86	0	N/A
9	6	null	P4XB-M	N/A	P4X266	X86	0	N/A
10	8	null	P4XB-RA	N/A	P4X266A	X86	0	N/A
11	3	null	P4X266 PE11-S	N/A	P4X266	X86	0	N/A
12	430	Mini-ITX VB Series	VB6002 Mini-ITX Board (EOL)	N/A	VN 800	X86	0	N/A
13	11	null	P4PA	N/A	P4X266A	X86	0	N/A
14	4	null	P4X266 PE11-L	N/A	P4X266	X86	0	N/A
15	301	EPIA Mini-ITX Series	EPIA ML (EOL)	C3® / Eden®	CLE266	X86	單核心	VIA
16	510	EPIA Mini-ITX Series	EPIA LT (EOL)	C7®	CX700M	X86	單核心	VIA
17	21	EPIA Mini-ITX Series	EPIA (EOL)	N/A	N/A	X86	0	VIA
18	42	null	P4PB 266E	N/A	ATX	X86	0	VIA
19	81	EPIA Mini-ITX Series	EPIA M (EOL)	C3® / Eden®	CLE266	X86	單核心	VIA
20	451	EPIA Mini-ITX Series	EPIA PE (EOL)	C3®	CLE266	X86	單核心	VIA
21	400	EPIA Mini-ITX Series	EPIA CN (EOL)	C7®	CN700	X86	單核心	VIA
22	1	null	P4XB-S	N/A	P4X266	X86	0	N/A
23	399	EPIA Mini-ITX Series	EPIA EN (EOL)	C7® / Eden®	CN700	X86	單核心	VIA
24	41	null	P4PB 400	N/A	ATX	X86	0	N/A
25	450	EPIA Mini-ITX Series	EPIA EX (EOL)	C7®	CX700M	X86	單核心	VIA
26	473	EPIA Mini-ITX Series	EPIA LN (EOL)	C7®	CN700	X86	單核心	VIA
27	202	EPIA Mini-ITX Series	EPIA MII-Series Mini-ITX Board (EOL)	N/A	CLE266	X86	0	N/A
28	2	null	P4XB-R	N/A	P4X266	X86	0	N/A
29	670	EPIA Mini-ITX Series	EPIA-M700 (EOL)	C7®	VX800	X86	單核心	VIA
30	1590	EPIA Mini-ITX Series	EPIA-M720	C7®	VX900H	X86	單核心	VIA
31	82	null	P4PB Ultra	N/A	ATX	X86	0	N/A
32	201	EPIA Mini-ITX Series	EPIA TC-Series Mini-ITX Board (EOL)	N/A	CLE266	X86	0	N/A
33	261	EPIA Mini-ITX Series	EPIA SP-Series Mini-ITX Board (EOL)	N/A	CN400	X86	0	N/A
