ㄧ,一
ㄉㄧㄥ,丁
ㄑㄧ,七
ㄙㄢ,三
1.ㄨㄢˋ2.ㄇㄛˋ,万
1.ㄕㄤˋ2.ㄕㄤˇ,上
1.ㄅㄨˋ2.ㄈㄨ3.ㄈㄡ＊ㄈㄡˇ,不
ㄍㄞˋ,丐
1.ㄑㄧㄝˇ2.ㄐㄩ,且
ㄑㄧㄡ,丘
ㄔㄥˊ,丞
ㄅㄧㄥˋ,並
1.ㄓㄨㄥ2.ㄓㄨㄥˋ,中
ㄍㄨㄢˋ,丱
ㄔㄨㄢˋ,串
ㄓㄨˇ,主
1.ㄧˋ2.ㄞˋ,乂
ㄧㄠ,么
ㄏㄨ,乎
1.ㄔㄥˊ2.ㄕㄥˋ,乘
1.ㄇㄧㄝ2.ㄋㄧㄝˋ,乜
ㄐㄧㄡˇ＊ㄐㄧㄡ,九
ㄑㄧˇ,乞
1.ㄑㄧㄢˊ2.ㄍㄢ,乾
ㄌㄨㄢˋ,亂
1.ㄌㄧㄠˇ2.˙ㄌㄜ,了
ㄩˇ＊ㄩˊ,予
ㄕˋ＊ㄗˋ,事
ㄩˊ＊ㄒㄩ,于
ㄍㄣˋ,亙
1.ㄒㄧㄝ2.ㄙㄨㄛˋ3.ㄙㄨㄛ,些
ㄧㄚˋ,亞
1.ㄐㄧˊ2.ㄑㄧˋ,亟
ㄨㄤˊ＊ㄨˊ,亡
1.ㄎㄤˋ2.ㄍㄤ,亢
ㄏㄥ＊ㄆㄥ,亨
ㄐㄧㄥ,京
ㄌㄧㄤˋ,亮
1.ㄨㄟˇ2.ㄇㄣˊ,亹
1.ㄕˊ2.ㄕㄣˊ,什
ㄌㄜˋ,仂
1.ㄔㄡˊ2.ㄑㄧㄡˊ,仇
ㄆㄨ,仆
ㄐㄧㄝˋ,介
ㄗˇ,仔
ㄊㄚ,他
1.ㄧˋ2.ㄍㄜ,仡
ㄌㄧㄥˋ,令
ㄒㄧㄡ＊ㄒㄩˇ,休
ㄈㄚ,伐
ㄨˇ,仵
ㄐㄧㄢˋ,件
1.ㄖㄣˋ2.ㄖㄣˊ,任
ㄈㄣˋ,份
ㄊㄨㄛˊ＊ㄊㄨㄛ,佗
1.ㄙˋ2.ㄘˋ,伺
1.ㄈㄛˊ2.ㄅㄧˋ＊ㄈㄨˊ,佛
1.ㄑㄧㄝˊ2.ㄐㄧㄚ,伽
ㄏㄜˊ＊ㄏㄜˋ,何
ㄑㄩ,佉
1.ㄍㄨ2.ㄍㄨˋ,估
1.ㄊㄧˇ2.ㄅㄣˋ,体
ㄉㄢˋ,但
ㄉㄧㄢˋ,佃
ㄓㄢˋ＊ㄓㄢ,佔
ㄅㄢˋ,伴
ㄧˇ,佁
ㄧˋ,佚
1.ㄗㄨㄛˋ2.ㄗㄨㄛˊ,作
ㄅㄛˊ＊ㄅㄚˋ,伯
